Close,Volume,Tradecount,Volume USDT,sma_7,volatility_7,ema_14,rsi_14,target
1.64,159737.16,867,257135.103704,1.5883142857142858,0.055684211663374165,1.629483213955898,52.19140363427516,1.5874
1.5874,413447.37,1362,653820.950625,1.5877857142857141,0.05567092085255511,1.6232396062836656,42.39367951379994,1.6158
1.6158,196457.62,987,311505.227801,1.5967285714285713,0.05419765414006163,1.6221521851685679,34.91998312200815,1.57
1.57,184458.49,1076,289488.771316,1.5981714285714286,0.053178652179413796,1.6146258698346219,33.61642172733329,1.7292
1.7292,644218.58,2913,1080205.326803,1.6303285714285711,0.054845683947044324,1.630980977730742,50.682204285098344,1.87
1.87,475443.08,2082,856432.449549,1.6589142857142858,0.10661831344522762,1.6647820245307912,58.62141426066759,1.8388
1.8388,193666.26,1158,359756.024918,1.6930285714285713,0.12175540664635433,1.689193597844836,65.66853606513484,1.9532
1.9532,480695.73,2144,877871.738231,1.7377714285714287,0.1526488095191676,1.725973352386535,63.16668176832008,1.9249
1.9249,359515.94,1245,677548.274444,1.785985714285714,0.15052307053041677,1.753521839393468,67.08544308333009,1.7565
1.7565,935739.25,5050,1734093.398532,1.8060857142857143,0.1323010006081013,1.753932157822134,59.17923913180904,1.95
1.95,748118.06,3988,1410818.441963,1.8603714285714283,0.09070796940889911,1.7808260844745583,65.07154701981432,2.0527
2.0527,321456.28,2307,650183.351446,1.9065857142857143,0.0950452774308374,1.817975661798,70.45414887540325,2.0797
2.0797,241150.68,1776,495787.768605,1.9365428571428571,0.11295253954859222,1.853620413360199,67.04297238262073,2.2617
2.2617,346006.6,3928,764734.634109,1.9969571428571429,0.1566173453265729,1.9090391519140801,75.17229520495101,2.55
2.55,384958.49,4076,945326.372868,2.0822142857142856,0.2582744691768267,1.9958695319984308,79.11742759248284,2.612
2.612,428655.47,3479,1125838.346443,2.1803714285714286,0.3132399384619072,2.0791582790523746,82.58832300475694,2.5134
2.5134,379335.63,3753,970951.895214,2.2885,0.27022030518325924,2.137751014105662,77.32853330930072,2.6625
2.6625,533510.45,4762,1406348.826139,2.390285714285714,0.25524024910249804,2.2084430456076523,81.29410591951711,2.79
2.79,649804.35,7144,1643051.586987,2.4956142857142853,0.24462016425860184,2.286679846137119,80.948107554262,2.65
2.65,477826.16,5654,1195662.19831,2.5770857142857144,0.16503598020403126,2.335498855775729,72.76648060085905,2.4619
2.4619,562267.17,5762,1346922.162266,2.605685714285714,0.10915976713929632,2.352465692355115,66.66081969545122,2.687
2.687,381605.55,4051,1008639.185552,2.625257142857143,0.10979143647757854,2.3973300293006736,68.52420512023038,2.5547
2.5547,541865.92,5319,1418968.928439,2.6170714285714283,0.11303279338737506,2.4184185132919,65.10557829890809,2.719
2.719,702146.43,7201,1805890.315819,2.6464428571428575,0.10821381392322414,2.4586710993737957,73.13096667458137,3.1519
3.1519,998488.09,7170,2897004.542185,2.7163571428571425,0.22033096965809618,2.551451312508629,75.90367573970414,4.12
4.12,919574.18,8392,3307473.578784,2.906357142857143,0.5778356769219174,2.761276533275854,82.4502702088397,4.6378
4.6378,775606.79,8242,3319650.86142,3.190328571428572,0.8535281087234056,3.0121899915550414,84.79334427604802,5.999
5.999,1555662.04,18354,8931149.054843,3.6956285714285717,1.2872316402708128,3.4114108184952263,88.48655308389941,6.0
6.0,1430171.07,15041,7898873.16033,4.168914285714286,1.4529620486309704,3.7572915150197077,87.76242804860055,5.6999
5.6999,1784870.53,18851,10454908.076245,4.618228571428572,1.3534916878383922,4.016784188086351,82.12456050771996,5.1502
5.1502,1397302.05,14265,7254130.949526,4.965542857142857,1.0663936450441163,4.168148046287358,75.07778834949463,5.1596
5.1596,996548.76,11172,5040755.016606,5.252357142857143,0.7065990325900132,4.3005248750439335,74.39745157512027,4.2912
4.2912,1599471.66,17670,6727001.091803,5.276814285714287,0.6624570990601866,4.299280065056342,62.81222187438443,4.4
4.4,964500.62,16774,4432830.069613,5.242842857142857,0.7053937525882094,4.312723366472421,65.01563182680437,5.181
5.181,1047106.95,46818,4706891.053183,5.125985714285714,0.6220857187145283,4.428597993993532,71.17630621512328,6.4631
6.4631,1480881.6,36765,8940235.580009,5.192142857142857,0.7433348412327219,4.700076930539635,75.25095912674328,9.254
9.254,3081660.72,72074,25800543.063661,5.699871428571429,1.7200595016009237,5.3076778940631835,83.04792341220362,10.0731
10.0731,2851073.22,64300,27989687.572451,6.403142857142858,2.3492013776722382,5.943440417967898,84.07662508013983,9.25
9.25,2593236.47,165192,22221179.907645,6.987485714285714,2.492672040487591,6.384539260528577,77.27055713973186,8.7094
8.7094,1401565.33,30865,12573057.266305,7.618657142857144,2.2430215468255774,6.694657320578615,71.33960135081475,7.5947
7.5947,1648305.01,32178,12799185.75526,8.075042857142858,1.749746584372664,6.8147088499244255,63.02579868360793,8.53
8.53,1289214.15,31704,10608475.154,8.553471428571429,1.1971440538691576,7.043490043863908,61.58429338714895,8.45
8.45,654338.84,20279,5400587.859207,8.837314285714285,0.7827312830266627,7.231078503834439,61.13304712604881,8.715
