Crypto,t-Statistic,p-Value (one-sided),Mean Return %,Expected Return %,Reject H0?
BTCUSDT,-43.81597313228881,3.481476e-317,0.004900515437402512,1.0,False
ETHUSDT,-27.224655611445492,1.2218367071242501e-144,-0.026786175390506435,1.0,False
DOGEUSDT,-3.3999859896475106,0.0003435674206645573,0.23107631182226157,1.0,False
ADAUSDT,-11.559902262391526,1.9712568562830696e-30,-0.011060604365340539,1.0,False
BNBUSDT,-25.895203264284685,4.69790346485306e-132,0.012481036338970743,1.0,False
XRPUSDT,-13.035070222037412,6.870999190592314e-38,-0.08870362150641545,1.0,False
LTCUSDT,-19.570521752143144,6.529002411061067e-80,0.04125651690442958,1.0,False
LINKUSDT,-15.338740066526086,8.51702315200271e-51,-0.038497723270582755,1.0,False
SOLUSDT,-13.11587053225313,1.0616127194385792e-37,-0.051803514539161405,1.0,False
MATICUSDT,-7.56352793498054,3.13941671563896e-14,0.07832066312039146,1.0,False
