group1,group2,meandiff,p-adj,lower,upper,reject
ADAUSDT,BNBUSDT,0.1679,0.9913,-0.3539,0.6897,False
ADAUSDT,BTCUSDT,-0.001,1.0,-0.5191,0.5172,False
ADAUSDT,DOGEUSDT,0.293,0.8132,-0.2625,0.8484,False
ADAUSDT,ETHUSDT,0.0061,1.0,-0.5121,0.5242,False
ADAUSDT,LINKUSDT,0.1332,0.9989,-0.4113,0.6776,False
ADAUSDT,LTCUSDT,-0.101,0.9998,-0.6244,0.4224,False
ADAUSDT,MATICUSDT,0.3094,0.7919,-0.2641,0.883,False
ADAUSDT,SOLUSDT,0.2371,0.9593,-0.3514,0.8255,False
ADAUSDT,XRPUSDT,0.0034,1.0,-0.527,0.5337,False
BNBUSDT,BTCUSDT,-0.1688,0.9893,-0.6791,0.3414,False
BNBUSDT,DOGEUSDT,0.1251,0.9994,-0.423,0.6732,False
BNBUSDT,ETHUSDT,-0.1618,0.9921,-0.6721,0.3485,False
BNBUSDT,LINKUSDT,-0.0347,1.0,-0.5717,0.5023,False
BNBUSDT,LTCUSDT,-0.2689,0.8233,-0.7845,0.2467,False
BNBUSDT,MATICUSDT,0.1416,0.9987,-0.4249,0.708,False
BNBUSDT,SOLUSDT,0.0692,1.0,-0.5123,0.6507,False
BNBUSDT,XRPUSDT,-0.1645,0.9926,-0.6872,0.3582,False
BTCUSDT,DOGEUSDT,0.2939,0.7916,-0.2507,0.8386,False
BTCUSDT,ETHUSDT,0.007,1.0,-0.4995,0.5136,False
BTCUSDT,LINKUSDT,0.1341,0.9987,-0.3993,0.6676,False
BTCUSDT,LTCUSDT,-0.1,0.9998,-0.612,0.4119,False
BTCUSDT,MATICUSDT,0.3104,0.77,-0.2527,0.8735,False
BTCUSDT,SOLUSDT,0.2381,0.9534,-0.3402,0.8163,False
BTCUSDT,XRPUSDT,0.0044,1.0,-0.5147,0.5234,False
DOGEUSDT,ETHUSDT,-0.2869,0.8144,-0.8315,0.2578,False
DOGEUSDT,LINKUSDT,-0.1598,0.9969,-0.7295,0.4099,False
DOGEUSDT,LTCUSDT,-0.394,0.4102,-0.9436,0.1557,False
DOGEUSDT,MATICUSDT,0.0165,1.0,-0.5811,0.614,False
DOGEUSDT,SOLUSDT,-0.0559,1.0,-0.6678,0.556,False
DOGEUSDT,XRPUSDT,-0.2896,0.8248,-0.8458,0.2667,False
ETHUSDT,LINKUSDT,0.1271,0.9991,-0.4064,0.6605,False
ETHUSDT,LTCUSDT,-0.1071,0.9997,-0.619,0.4048,False
ETHUSDT,MATICUSDT,0.3034,0.7932,-0.2597,0.8664,False
ETHUSDT,SOLUSDT,0.231,0.9614,-0.3472,0.8093,False
ETHUSDT,XRPUSDT,-0.0027,1.0,-0.5217,0.5163,False
LINKUSDT,LTCUSDT,-0.2342,0.9348,-0.7727,0.3044,False
LINKUSDT,MATICUSDT,0.1763,0.9948,-0.4111,0.7637,False
LINKUSDT,SOLUSDT,0.1039,0.9999,-0.498,0.7059,False
LINKUSDT,XRPUSDT,-0.1298,0.9991,-0.6751,0.4155,False
LTCUSDT,MATICUSDT,0.4104,0.3976,-0.1575,0.9783,False
LTCUSDT,SOLUSDT,0.3381,0.7128,-0.2449,0.9211,False
LTCUSDT,XRPUSDT,0.1044,0.9998,-0.4199,0.6287,False
MATICUSDT,SOLUSDT,-0.0723,1.0,-0.7007,0.556,False
MATICUSDT,XRPUSDT,-0.306,0.8037,-0.8804,0.2683,False
SOLUSDT,XRPUSDT,-0.2337,0.9632,-0.8229,0.3555,False
